"lang"
{
	"Language"		"bulgarian"
	"Tokens"
	{
		// Item formatting
		"ItemNameUniqueFormat"						"%s1%s2%s3"			// will turn into "The Battalion's Backup #1"; foreign languages that have gender/declension can change this to be "Shotgun #1" or whatever
		"ItemNameWithQualityFormat"					"%s1 %s2%s3"		// will turn into "Strange Shotgun #1"; foreign languages that have gender for adjectives can change this to be "Shotgun #1 (Strange)" or whatever
		"ItemNameCraftNumberFormat"					" №%s1"
		"ItemTypeDesc"								"Ниво %s1 %s2"			// s1 is the level number, s2 is the item type. Example: "Level 4 Medigun"
		"ItemTypeDescNoLevel"						"Ниво %s1"				// s1 is the level number. Example: "Level 12"
		"ItemTypeDescKillEater"						"%s1 %s2"				// s1 is the rarity, s2 is the item type
		"ItemTypeDescKillEaterAlt"					"%s2: %s1"				// "Kills: 123"
		"RarityTypeDesc"							"%s1 %s2"				// s1 is the rarity, s2 is the item type
		"Econ_Store_PurchaseType_Standard"			"%s1"

		//Market description attributes
		"AttribFormat_AdditionalNote"				"(%s1)"
		
		// Rarity Names
		"Rarity_Common"								"Обикновен"
		"Rarity_Uncommon"							"Необикновен"
		"Rarity_Rare"								"Рядък"
		
		// Rich Presence set for Steam
		"Steam_DAC_RP_MainMenu"								"Главно меню"
		"Steam_DAC_RP_InParty"								"Главно меню — Екип"
		"Steam_DAC_RP_InPrivateGame_Spectator"				"Наблюдаване — Рунд %param0%"
		"Steam_DAC_RP_InGame_Spectator"						"Наблюдаване — Рунд %param0%"
		"Steam_DAC_RP_InPrivateGame_Eliminated"				"Елиминирани"
		"Steam_DAC_RP_InGame_Eliminated"					"Елиминирани"
		"Steam_DAC_RP_InPrivateGame_Victory"				"След игра"
		"Steam_DAC_RP_InGame_Victory"						"След игра"
		"Steam_DAC_RP_Place_1"								"I място"
		"Steam_DAC_RP_Place_2"								"II място"
		"Steam_DAC_RP_Place_3"								"III място"
		"Steam_DAC_RP_Place_4"								"IV място"
		"Steam_DAC_RP_Place_5"								"V място"
		"Steam_DAC_RP_Place_6"								"VI място"
		"Steam_DAC_RP_Place_7"								"VII място"
		"Steam_DAC_RP_Place_8"								"VIII място"
		"Steam_DAC_RP_InGame_Playing"						"Играе — %param0% рунд, %param1% здраве"
		"Steam_DAC_RP_InBotGame_Playing"					"Играе с ИИ — %param0% рунд, %param1% здраве"
		"Steam_DAC_RP_InPrivateGame_Playing"				"Лична игра — %param0% рунд, %param1% здраве"
		"Steam_DAC_RP_InPrivateGame_Disconnected"			"Лична игра — Разкачени"
		"Steam_DAC_RP_InGame_Disconnected"					"Играе — Разкачени"
				
		// Localization for item history reporting from the GC
		"ItemHistory_ActionWithTime"									"%s1 — %s2"
		"ItemHistory_Action_GenericAdd"									"Добавено"
		"ItemHistory_Action_GenericRemove"								"Премахнато или модифицирано"
		"ItemHistory_Action_Traded"										"Изтъргувано"
		"ItemHistory_Action_Delete"										"Изтрихте това"
		"ItemHistory_Action_Banned"										"Забранено"
		"ItemHistory_Action_CraftDestroy"								"Използвано при изработка"
		"ItemHistory_Action_LimitExceeded"								"Унищожено заради лимит в раницата"
		"ItemHistory_Action_SupportDelete"								"Изтрито от Steam поддръжката"
		"ItemHistory_Action_SupportDeletedByUndo"						"Изтрито от Steam поддръжката"
		"ItemHistory_Action_NameChanged_Remove"							"Името е променено"
		"ItemHistory_Action_UnlockCrate_Remove"							"Използвано за отваряне на съкровище"
		"ItemHistory_Action_PaintItem_Remove"							"Артикулът е боядисан"
		"ItemHistory_Action_AddItemToSocket_Remove"						"Премахнато от гнездо"
		"ItemHistory_Action_AddSocketToItem_Remove"						"Премахнато при добавяне на гнездо"
		"ItemHistory_Action_RemoveSocketItem_Remove"					"Премахнат загнезден артикул"
		"ItemHistory_Action_CustomizeItemTexture_Remove"				"Текстурата е персонализирана"
		"ItemHistory_Action_ItemTraded_Remove"							"Изтъргувано"
		"ItemHistory_Action_UseItem"									"Използвано"
		"ItemHistory_Action_SupportRename_Remove"						"Преименувано от Steam поддръжката"
		"ItemHistory_Action_SupportDescribe_Remove"						"Персонализирано описание, добавено от Steam поддръжката"
		"ItemHistory_Action_SupportStrangify_Remove"					"Страннизиран артикул от Steam поддръжката"
		"ItemHistory_Action_UnpackItemBundle"							"Разопаковано"
		"ItemHistory_Action_Unpurchase"									"Възстановено"
		"ItemHistory_Action_AwardGift_Giver"							"Подаръкът е изпратен"
		"ItemHistory_Action_RemoveItemName_Remove"						"Персонализираното име е премахнато"
		"ItemHistory_Action_RemoveItemPaint_Remove"						"Боята е премахната"
		"ItemHistory_Action_GiftWrap_Remove"							"Опаковано за подарък"
		"ItemHistory_Action_GiftDelivery_Remove"						"Подаръкът е изпратен"
		"ItemHistory_Action_GiftDelivery_Remove_WithPartner"			"Подаръкът е изпратен до %partner%"
		"ItemHistory_Action_GiftUnwrap_Remove"							"Разопаковано"
		"ItemHistory_Action_PackageItem_Revoked"						"Анулирано"
		"ItemHistory_Action_CafeOrSchoolItem_Remove"					"Премахнато поради компютърна зала или училище"
		"ItemHistory_Action_VACBanned_Remove"							"Изтрито, поради VAC забрана"
		"ItemHistory_Action_UpgradeThirdPartyPromo"						"Промоционално подобрение от трета страна"
		"ItemHistory_Action_Expired"									"Изтекло"
		"ItemHistory_Action_RemoveItemCraftIndex_Remove"				"Премахнато при заличаване от индекса за изработване"
		"ItemHistory_Action_RemoveItemMakersMark_Remove"				"Премахнато име на създателя"
		"ItemHistory_Action_RemoveItemKillStreak_Remove"				"Премахнато, поради заличена убийствена серия"
		"ItemHistory_Action_TradeRollback_Remove"						"Търгуването е било отменено"
		"ItemHistory_Action_CDKeyRevoke"								"CD ключът е анулиран"
		"ItemHistory_Action_WeddingRing_Remove"							"Използвано за венчална халка"
		"ItemHistory_Action_CollectItem_RemoveCollection"				"Премахнат артикул от стара колекция"
		"ItemHistory_Action_CollectItem_CollectedItem"					"Добавено към колекция"
		"ItemHistory_Action_EconSetUnowned"								"Изтъргувано"
		"ItemHistory_Action_StrangePartApply_Remove"					"Премахнато при прилагане на странен модификатор"
		"ItemHistory_Action_PennantUpgradeApply_Remove"					"Използвано при прилагане на подобрение за емблема"
		"ItemHistory_Action_AutographRemove"							"Използвано за автограф на артикул"
		"ItemHistory_Action_ConsumeItem_Consume_ToolRemove"				"Използвано като съставна част в рецепта"
		"ItemHistory_Action_ConsumeItem_Consume_InputRemove"			"Използвано като съставна част в рецепта"
		"ItemHistory_Action_ConsumeItem_Complete_ToolRemove"			"Използвано за завършване на рецепта"
		"ItemHistory_Action_UnlockStyle_Remove"							"Отключен е стил"
		"ItemHistory_Action_Purgatory_ExpiredAndAutoFinalized_Remove"	"Покупката е финализирана"
		"ItemHistory_Action_Purgatory_Finalize_Remove"					"Покупката е финализирана"
		"ItemHistory_Action_Purgatory_Refund"							"Възстановено"
		"ItemHistory_Action_AddSocket_Remove"							"Добавено е гнездо"
		"ItemHistory_Action_ExtractGem_Remove"							"Скъпоценният камък е извлечен"
		"ItemHistory_Action_NewYearsOffering"							"Рециклирано"
		"ItemHistory_Action_ItemRedemption_Remove"						"Употребено"
		"ItemHistory_Action_ItemGiftMessageRefurbish_Remove"			"Премахнато посвещение от подарък"
		"ItemHistory_Action_ItemGifterAccountIdRefurbish_Remove"		"Премахната информация за подарилия"
		"ItemHistory_Action_Market_Remove"								"Обявено в обществения Steam пазар"
		"ItemHistory_Action_MarketBuyback_Remove"						"Премахнато при откупуване от пазара"
		"ItemHistory_Action_ManualItemConvertOperation_OldItem"			"Конвертирано"
		"ItemHistory_Action_ItemConsume"								"Изразходвано"
		"ItemHistory_Action_FantasyTicketConsume"						"Използвано"
		"ItemHistory_Action_WeekendTourneyTicket_Consume"				"Използвано"
		"ItemHistory_Action_PlayerCardDust"								"Консолидирано в един артикул"
		"ItemHistory_Action_GSCreate"									"Предоставено от игралния сървър, на който сте играели"
		"ItemHistory_Action_AwardAchievement"							"Придобито от отключване на постижение"
		"ItemHistory_Action_QuantityChanged"							"Използвано"
		"ItemHistory_Action_AwardTime"									"Намерено"
		"ItemHistory_Action_ManualCreate"								"Създадено от Steam поддръжката"
		"ItemHistory_Action_Drop"										"Намерено"
		"ItemHistory_Action_Purchase"									"Закупено от магазина"
		"ItemHistory_Action_AutoGrantItem"								"Придобито"
		"ItemHistory_Action_CrossGameAchievement"						"Придобито от отключване на постижение в различна игра"
		"ItemHistory_Action_AwardGift_Receiver"							"Получен подарък"
		"ItemHistory_Action_AwardStorePromotionItem"					"Закупено от магазина"
		"ItemHistory_Action_EarnedItem"									"Придобито"
		"ItemHistory_Action_AwardThirdPartyPromo"						"Придобит промоционален артикул"
